Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1980-05-21,107.72,102.53130416,0.7915044497331304,0.9974119655525171,0.002588034447483078,blue,107.72,108.31,106.54,0.0005845960375737577
1980-05-22,109.01,102.55819647999999,0.8714292272464739,0.993725497683982,0.00627450231601813,blue,109.01,109.73,107.34,0.011560185352235686
1980-05-23,110.62,102.58521472000001,0.9458577658841503,0.9911706242178263,0.008829375782173646,blue,110.62,111.37,109.01,0.014317115581713226
1980-05-27,111.4,102.61241408000001,0.9960648775899429,0.9919614510405373,0.008038548959462568,blue,111.4,112.3,110.35,0.006682255082054066
1980-05-28,112.06,102.63983504,1.0607616337104453,0.991192652334823,0.008807347665176967,blue,112.06,112.71,110.42,0.0055629467993902676
1980-05-29,110.27,102.667452,1.146723552024923,0.9879723096474019,0.012027690352598068,blue,110.27,112.64,109.86,-0.01644670621119321
1980-05-30,111.24,102.69530448,1.2233873744236765,0.9910245174924756,0.008975482507524347,blue,111.24,111.55,108.87,0.008413957750561061
1980-06-02,110.76,102.72331263999999,1.266718005702493,0.9929055735431056,0.007094426456894357,blue,110.76,112.15,110.06,-0.0046684989076415835
1980-06-03,110.51,102.75144624,1.296382105417368,0.9926337907290019,0.0073662092709982,blue,110.51,111.63,109.77,-0.0026038515466426304
1980-06-04,112.61,102.77971712,1.3930630001464999,0.9894282993236351,0.010571700676364995,blue,112.61,113.45,110.22,0.018480339263646152
1980-06-05,112.78,102.80813792000001,1.4479098501391747,0.9954440345042079,0.004555965495792057,blue,112.78,114.38,111.89,0.0011643288254742441
1980-06-06,113.2,102.83670048,1.4705143576322164,0.997563026765481,0.002436973234519066,blue,113.2,114.01,112.11,0.003372979545498892
1980-06-09,113.71,102.86536464,1.4884886397506054,0.9982499160184924,0.0017500839815076598,blue,113.71,114.51,112.68,0.004151014022996623
1980-06-10,114.66,102.89414816000001,1.530564207763075,0.998209045195751,0.0017909548042492204,blue,114.66,115.5,113.17,0.007975711998986145
1980-06-11,116.02,102.92307744,1.5750359973749215,0.9981205311654453,0.0018794688345548528,blue,116.02,116.64,114.22,0.011447194713088948
1980-06-12,115.52,102.95213232,1.6327841975061759,0.998923092824305,0.0010769071756951112,blue,115.52,117.01,114.28,-0.004663082738003007
1980-06-13,115.81,102.9813264,1.6646449876308669,0.9993032939729387,0.0006967060270615022,blue,115.81,116.94,114.67,0.002163074207140772
1980-06-16,116.09,103.0106672,1.6824127382493235,0.9993916824607609,0.0006083175392394733,blue,116.09,116.8,114.78,0.0020706673090876366
1980-06-17,116.03,103.04014592000001,1.6992921013368574,0.9992752780712039,0.0007247219287963362,blue,116.03,116.8,114.78,-0.0008611418351236014
1980-06-18,116.26,103.06973152,1.6888274962700147,0.9987943274690828,0.001205672530917482,blue,116.26,116.26,114.77,0.0016361160691856893
1980-06-19,114.66,103.09938688,1.726886121456514,0.9974555741174141,0.0025444258825860966,blue,114.66,116.81,114.36,-0.014202002637512628
