Date, Open, High, Low, Close,LN_Return
01/22/86,203.49,205.99,203.49,203.49,-0.011239368
01/21/86,205.79,207.66,205.16,205.79,-0.008419676
01/20/86,207.53,208.41,206.66,207.53,-0.004327346
01/17/86,208.43,209.31,207.68,208.43,-0.003544065
01/16/86,209.17,209.17,207.67,209.17,0.004360019
01/15/86,208.26,208.26,206.76,208.26,0.00780915
01/14/86,206.64,207.26,206.14,206.64,-0.000387072
01/13/86,206.72,206.72,205.59,206.72,0.003683245
1/10/86,205.96,207.21,205.59,205.96,-0.000728032
1/9/86,206.11,207.86,204.61,206.11,-0.008983832
1/8/86,207.97,214.47,207.59,207.97,-0.02764716
1/7/86,213.8,213.8,210.68,213.8,0.01484301
1/6/86,210.65,210.9,210.03,210.65,-0.001091263
1/3/86,210.88,210.88,209.63,210.88,0.00613601
1/2/86,209.59,211.22,208.97,209.59,-0.008031027
12/31/85,211.28,211.66,210.78,211.28,0.002843873
12/30/85,210.68,210.68,209.18,210.68,0.005091733
12/27/85,209.61,209.61,207.74,209.61,0.009394691
12/26/85,207.65,207.65,207.15,207.65,0.002459077
12/24/85,207.14,208.51,206.51,207.14,-0.006879823
12/23/85,208.57,210.82,208.44,208.57,-0.011299017
12/20/85,210.94,211.69,210.06,210.94,0.004370969
12/19/85,210.02,210.02,209.27,210.02,0.001000405
12/18/85,209.81,211.19,209.31,209.81,-0.003995629
12/17/85,210.65,212.4,210.65,210.65,-0.006482621
12/16/85,212.02,213.02,210.02,212.02,0.009858834
12/13/85,209.94,210.19,206.81,209.94,0.015408182
12/12/85,206.73,207.6,205.85,206.73,0.002033702
12/11/85,206.31,206.56,204.19,206.31,0.009349959
12/10/85,204.39,205.14,203.76,204.39,0.0006852
12/9/85,204.25,204.25,203,204.25,0.006188017
12/6/85,202.99,203.87,202.49,202.99,-0.004374869
12/5/85,203.88,205.75,203.88,203.88,-0.001715224
12/4/85,204.23,204.23,200.98,204.23,0.016638662
12/3/85,200.86,200.86,200.11,200.86,0.001993422
12/2/85,200.46,202.09,200.21,200.46,-0.008494202
11/29/85,202.17,203.29,201.92,202.17,-0.00182847
11/27/85,202.54,202.54,200.79,202.54,0.00927563
11/26/85,200.67,201.04,200.17,200.67,0.001595931
11/25/85,200.35,201.47,200.1,200.35,-0.005822795
11/22/85,201.52,201.9,201.15,201.52,0.000546001
11/21/85,201.41,201.41,199.03,201.41,0.012088059
11/20/85,198.99,199.12,198.62,198.99,0.001609415
11/19/85,198.67,199.42,198.04,198.67,-0.000201319
11/18/85,198.71,198.71,197.59,198.71,0.003024043
11/15/85,198.11,199.49,197.99,198.11,-0.004783855
11/14/85,199.06,199.19,196.94,199.06,0.009895073
11/13/85,197.1,198.1,196.97,197.1,-0.004959775
11/12/85,198.08,198.58,197.08,198.08,0.00404695
11/11/85,197.28,197.29,193.79,197.28,0.018210222
